DBA,BORO,ZIPCODE,Latitude,Longitude
SUBWAY,Manhattan,10001,40.74562103,-73.99335234
DUNKIN,Manhattan,10014,40.72738488,-74.00551655
XING WONG BBQ,Manhattan,10002,40.71374884,-73.99372707
TACO BELL,Manhattan,10014,40.72919919,-74.00521363
MANHATTA,Manhattan,10005,40.70810817,-74.00876837
LA CONSTANCERA LLC,Manhattan,10025,40.80255558,-73.96417582
"DGA GROUP, LLC",Manhattan,10009,40.72743592,-73.9830715
TRINITY CAFE,Manhattan,10006,40.70842347,-74.01253403
AGUMBE INC.,Manhattan,10025,40.80027245,-73.96581686
THE ALCHEMISTS KITCHEN,Manhattan,10012,40.72426142,-73.99661591
NARANJITO JUICE,Manhattan,10027,40.81380892,-73.95593289
PK UWS LLC,Manhattan,10024,40.78422678,-73.97752128
94 NAGLE PIZZA CORP.,Manhattan,10040,40.8605402,-73.92762372
SUSHI TOKYO NYC INC.,Manhattan,10025,40.79167759,-73.97210881
Sho Tse,Manhattan,10014,40.73316261,-74.00566497
JONGRO BBQ,Manhattan,10001,40.74762687,-73.98665374
SILVERSTONE 88 LLC,Manhattan,10128,40.77951656,-73.95053228
NOODLE VILLAGE,Manhattan,10013,40.7162385,-73.99810254
NINEPIN NOMAD LLC,Manhattan,10016,40.74383642,-73.98719583
GO GO BAR,Manhattan,10002,40.72205104,-73.98570646
POPEYES,Manhattan,10036,40.75766702,-73.98512126
CHIPOTLE MEXICAN GRILL,Manhattan,10027,40.81043671,-73.95179164
UMAMI BURGER / SA'MOTO,Manhattan,10001,40.75355633,-73.99881252
BIRCH COFFEE,Manhattan,10075,40.77193933,-73.95298937
HAPPY WOK,Manhattan,10009,40.72631504,-73.97720897
DOUGHNUTTERY EVENTS.,Manhattan,10036,,
Respite Center at the Holiday Inn,Manhattan,10006,40.70834367,-74.01432305
SIMON'S BURGER CORP,Manhattan,10003,40.73624736,-73.98923606
360 PAS,Manhattan,10010,40.74194777,-73.98508869
BAYLANDER STEEL BEACH,Manhattan,10027,40.81863896,-73.96160196
TEPPAN 3RD AVENUE LLC,Manhattan,10029,40.79122862,-73.94493306
SEOUL SWEETS INC,Manhattan,10001,40.74681706,-73.98575166
Ly Ly,Manhattan,10028,40.7744483,-73.9536411
LOS TACOS No. 1,Manhattan,10001,40.75481618,-73.99973651
JULIUS,Manhattan,10014,40.73443905,-74.00169952
ESSEX PEARL,Manhattan,10011,40.743082,-74.00865029
LA GIOCONDA,Manhattan,10022,40.75737275,-73.96864721
MONOMONO,Manhattan,10003,40.7255701,-73.98798947
LAOSHA BBQ INC.,Manhattan,10003,40.72879539,-73.99003825
RITZ DINER,Manhattan,10065,40.76157522,-73.9605376
BAGEL MARKET,Manhattan,10018,40.75546347,-73.98961554
MISTA OH,Manhattan,10010,40.74285687,-73.9906352
125 FAST FOOD INC.,Manhattan,10027,40.80650195,-73.94250378
WESTVILLE,Manhattan,10009,40.72835248,-73.9818662
DEVON AND BLAKELY,Manhattan,10281,40.71141766,-74.01544191
JUST SALAD,Manhattan,10022,40.75985435,-73.969895
NY SOHO COFFEE INC,Manhattan,10013,40.72038586,-74.00105341
SAKURA OF JAPAN,Manhattan,10038,40.70968096,-74.00827803
ROMA PIZZA RESTAURANT,Manhattan,10128,40.77827498,-73.94836317
THINK COFFEE,Manhattan,10003,40.73310741,-73.98994379
POSH POP BAKE SHOP,Manhattan,10018,40.75563108,-73.99188227
DESI FLAVORS DELI,Manhattan,10011,40.74484443,-74.00251179
AB STABLE LLC,Manhattan,10022,40.75664132,-73.97435785
BREWCASH INC.,Manhattan,10002,40.71712771,-73.99493883
GOKU NYC INC,Manhattan,10011,40.74189933,-74.00094549
DOLLY VARDEN,Manhattan,10019,40.76303038,-73.98595755
Nightingale,Manhattan,10014,40.73005013,-74.0033447
PINEAPPLE HOSPITALITY CONSULTING LLC,Manhattan,10021,40.76920376,-73.96310354
New York Comedy Club,Manhattan,10003,40.72638547,-73.98988708
CLARA,Manhattan,10024,40.77958189,-73.97386513
MAK PIZZA INC,Manhattan,10002,40.71405022,-73.98716911
SAVORY,Manhattan,10152,40.75877913,-73.97280126
NILI LOTAN MEATPACKING LLC,Manhattan,10013,40.71741008,-74.01021978
ZOU ZOU'S,Manhattan,10001,40.75325165,-73.99808343
Bridges,Manhattan,10038,40.71374625,-73.99795111
WPP,Manhattan,10007,40.71096789,-74.01235777
RHYTHM ZERO,Manhattan,10014,40.73325325,-74.00420724
BERTA GELATO,Manhattan,10018,40.75259203,-73.98572515
BIRRIA CITY,Manhattan,10019,40.76242419,-73.98973358
WESTWAY DINER,Manhattan,10036,40.75947923,-73.99184932
Janie's Life-Changing Baked Goods,Manhattan,10014,40.73345912,-74.00376343
"FOODA, INC",Manhattan,10036,40.75762868,-73.98580348
CHOP'T,Manhattan,10022,40.76135084,-73.97226234
MANDRAKE CAFE LLC,Manhattan,10002,40.7221172,-73.98815966
CIBAO JUICE & RESTAURANT CORP,Manhattan,10032,40.83939769,-73.93726379
GOLDMAN SACHS,Manhattan,10282,40.71383876,-74.01381201
LA NOXE TRINITY LLC,Manhattan,10006,40.70847851,-74.01111292
"RESTAURANT ASSOCIATES, LLC",Manhattan,10022,40.7591348,-73.96833956
SHAKESPEARE & CO,Manhattan,10023,40.77641053,-73.98212385
MR P PIZZERIA INC.,Manhattan,10018,40.75268809,-73.98565294
EAT OFFBEAT,Manhattan,10012,40.72659426,-73.99224301
FELIX CHRYSTIE STREET LLC,Manhattan,10017,40.75601562,-73.97483093
BIRRIALES4 LLC,Manhattan,10011,40.74200088,-74.00086971
PGMAK LLC,Manhattan,10019,40.76560446,-73.98232171
JAMROCK JERK LLC,Manhattan,10002,40.71979997,-73.9830482
JONES STREET WINE BAR,Manhattan,10009,40.72630523,-73.98417941
AMC THEATRES,Manhattan,10024,40.78674652,-73.97779488
AYADA,Manhattan,10011,40.74186904,-74.00471301
QUATORZE,Manhattan,10028,40.77437591,-73.95118239
DRAI'S,Manhattan,10011,40.73909418,-74.00100679
ROWDY ROOSTER,Manhattan,10003,40.72831997,-73.98475982
BLUE MAIZ,Manhattan,10018,40.75555691,-73.99099796
LE BOTANISTE,Manhattan,10001,40.74939498,-73.99177476
APT 5 LLC,Manhattan,10002,40.72099456,-73.98790011
NOMAS RESTAURANT,Manhattan,10034,40.8639683,-73.91927205
WINGSTOP,Manhattan,10025,40.79807763,-73.96929254
BECOMING UNIQUE,Manhattan,10035,40.79725712,-73.93631404
MI PASO CENTRO AMERICANO RESTAURANT,Manhattan,10033,40.84581285,-73.93857336
20X HOSPITALITY AT EAST VILLAGE LLC,Manhattan,10003,40.72703577,-73.9877114
ER HOTPOT,Manhattan,10280,40.70810715,-74.01763052
PS KITCHEN,Manhattan,10036,40.76052715,-73.98584978
TAVERN 62 LLC,Manhattan,10065,40.76423147,-73.96710613
CACTUS WREN LLC,Manhattan,10002,40.7201108,-73.98846305
SUSHI GODA,Manhattan,10128,40.78043702,-73.95281364
LA BONBONNIERE,Manhattan,10014,40.73776014,-74.00456837
CERES,Manhattan,10013,40.71973803,-73.99619405
NY JUMBO BAGELS,Manhattan,10022,40.75884033,-73.96561441
"THREE AND SEVENTY-THREE GOURMET, LLC.",Manhattan,10021,40.77026227,-73.96021834
SU KHUM VIT 51,Manhattan,10022,40.75613512,-73.9695971
Close Up,Manhattan,10002,40.72078057,-73.98885616
Hekate Café & Elixir Lounge,Manhattan,10009,40.72718559,-73.97965846
MAKI KOSAKA,Manhattan,10011,40.7398131,-73.9930931
STORE HOUSE,Manhattan,10010,40.7443254,-73.99177539
THE RUBIN MUSEUM,Manhattan,10011,40.74021677,-73.99772655
THAI VILLA,Manhattan,10003,40.73888796,-73.99091001
POPS PIZZA,Manhattan,10019,40.76268727,-73.98579879
MITSURU,Manhattan,10012,40.73151589,-74.00055927
SPRINGFIELD ADULT DAY CARE LLC,Manhattan,10009,40.72798964,-73.97876343
KOREAN EXPRESS,Manhattan,10065,40.76428624,-73.96666569
PASSERINE LLC,Manhattan,10003,40.73888506,-73.98912376
UP THAI,Manhattan,10021,40.76982218,-73.95762644
LA CASA DEL TACO,Manhattan,10033,40.84639051,-73.93587646
MOONLIGHT RESTAURANT,Manhattan,10019,40.7644387,-73.98823513
LET'S MEAT,Manhattan,10016,40.74677863,-73.98575527
"NYMZ, LLC",Manhattan,10036,40.75780675,-73.98328033
JEONG YUK JEOM,Manhattan,10001,40.74756389,-73.98801797
BAAR BAAR,Manhattan,10003,40.72451641,-73.9914351
HANKI,Manhattan,10004,40.70495689,-74.01199598
VAN LEEUWEN ICE CREAM,Manhattan,10001,40.75303757,-74.00028153
KUN TSUKI OMAKASE XTRA INC,Manhattan,10019,40.76482589,-73.99022417
HUDSON CLEARWATER,Manhattan,10014,40.73104908,-74.00672919
GREENWICH & DELANCEY NYC,Manhattan,10006,40.70799767,-74.01553128
KAFFE LANDSKAP,Manhattan,10013,40.7209234,-74.0100219
1251 FOOD LLC,Manhattan,10020,40.75963708,-73.98062674
PURA VIDA 65 BLEECKER LLC,Manhattan,10012,40.72619643,-73.99517265
SRINIDHHI INC,Manhattan,10029,40.78966191,-73.94607555
SIP COFFEE,Manhattan,10001,40.74737779,-73.99564029
SUBWAY,Manhattan,10044,40.76098406,-73.95074463
TONY'S DI NAPOLI,Manhattan,10036,40.75601463,-73.9848076
TERRACE 5,Manhattan,10019,40.76099511,-73.97720066
XO TASTE,Manhattan,10013,40.71682585,-73.99681469
AIR MAIL,Manhattan,10014,40.73486159,-74.00610173
ANTICO VINAIO,Manhattan,10017,40.751674,-73.97767668
LA NUEVA ESPANA,Manhattan,10034,40.8673922,-73.92103228
ONE TENNESSEE LLC,Manhattan,10018,40.75228164,-73.98398192
BANH MI CO UT,Manhattan,10013,40.71803353,-73.99606428
Vegan On The Fly,Manhattan,10036,40.75581635,-73.98049069
NEW YORK LUNCHEONETTE,Manhattan,10022,40.75632236,-73.97193959
LE GAZ,Manhattan,10002,40.71492075,-73.9919594
BASS CAFE,Manhattan,10065,40.76293794,-73.95658397
KORONET PIZZA,Manhattan,10032,40.84423483,-73.93896516
STEAM,Manhattan,10011,40.73565498,-73.9980659
MCNALLY JACKSON SEAPORT,Manhattan,10038,40.70636828,-74.00328941
RED LOBSTER,Manhattan,10036,40.75570202,-73.98720798
STONED PIZZA,Manhattan,10002,40.71872776,-73.99221146
LUCHIANOS ITALIAN TAVERN,Manhattan,10027,40.80881138,-73.94473423
APPLEBEE'S,Manhattan,10019,40.76137502,-73.98392558
STORE OF PASTA LLC.,Manhattan,10009,40.72887107,-73.98080529
WAKAMBA,Manhattan,10018,40.75425322,-73.99196907
KOHOKU-KU RAMEN,Manhattan,10019,40.76256416,-73.98963248
WTS INTERNATIONAL,Manhattan,10019,40.76324802,-73.97463325
RMCBGNY INC,Manhattan,10016,40.74977195,-73.9780238
787 COFFEE,Manhattan,10003,40.72959381,-73.98695323
KONBAN NYC,Manhattan,10011,40.74193225,-74.00175385
MIDO OMAKASE WEST VILLAGE,Manhattan,10012,40.72987451,-73.9990186
MADRAS DOSA CO,Manhattan,10112,40.75874744,-73.97869222
SONNYBOY,Manhattan,10002,40.72059953,-73.99015131
LA PIZZA ITALIA,Manhattan,10009,40.72937067,-73.98112266
"TACO BELL, KFC",Manhattan,10031,40.8296922,-73.948081
SPRINGBONE 3RD AVE LLC,Manhattan,10028,40.77541281,-73.95645305
CRIOLLAS BAKED EMPANADAS,Manhattan,10014,40.73140884,-74.00117626
GONG CHA,Manhattan,10018,40.75618542,-73.99056473
dough,Manhattan,10075,40.77409919,-73.95950477
ONUR SAFAK,Manhattan,10001,40.74694895,-73.98691734
ZAAD NYC INC.,Manhattan,10002,40.7180002,-73.9898126
FARIDA,Manhattan,10005,40.70714753,-74.00837149
MARCHE MADISON,Manhattan,10016,40.74520895,-73.97245315
THE HORNY RAM,Manhattan,10022,40.75516313,-73.9683234
MANSO RIKI TAKI FLOW RD LLC,Manhattan,10034,40.86510851,-73.92502645
NEW YUE RESTAURANT,Manhattan,10013,40.71544251,-73.99795105
MONTE'S TRATTORIA,Manhattan,10012,40.72944359,-74.00096335
Lucille's,Manhattan,10021,40.76992371,-73.95755417
KCL NOODLES LLC,Manhattan,10018,40.7538107,-73.98569601
"DONG'S FOOD, INC",Manhattan,10035,40.80325271,-73.93824796
SOUTH SIDE BAR,Manhattan,10038,40.70637378,-74.00288184
YAKINIKU FUTAGO SOHO LLC,Manhattan,10013,40.722642,-74.00352832
LUCKY'S SOHO,Manhattan,10012,40.7220519,-73.99734837
LOLA TAVERNA,Manhattan,10014,40.72720107,-74.00333734
BRAVO PIZZA,Manhattan,10003,40.73410917,-73.98911733
