DBA,BORO,ZIPCODE,Latitude,Longitude
RAVAGH PERSIAN GRILL,Manhattan,10016,40.74725315,-73.98331547
OH K-DOG,Manhattan,10002,40.72105769,-73.98786763
WARREN STREET BAR & RESTAURANT,Manhattan,10007,40.71537068,-74.01061266
WOMENS NATL. REPUBLICAN CLUB,Manhattan,10019,40.75929058,-73.9770316
COACH,Manhattan,10001,40.75245019,-74.00070382
RASPBERRY DELI & GROCERY,Manhattan,10029,40.79284597,-73.94082182
MODERN COFFEE HOUSE,Manhattan,10002,40.71378998,-73.99321845
BITES OF XIAN 88,Manhattan,10128,40.77951657,-73.95055756
BLANK STREET COFFEE,Manhattan,10016,40.74462843,-73.97893133
ITAVOLO,Manhattan,10022,40.7575953,-73.96945204
888 HUDSON THAI,Manhattan,10033,40.85104719,-73.93882876
TOASTIES,Manhattan,10022,40.75866172,-73.97554103
PERGOLA 36,Manhattan,10001,40.74549447,-73.98925982
CHIPOTLE MEXICAN GRILL,Manhattan,10032,40.83415089,-73.94482151
DANIELA TRATTORIA,Manhattan,10036,40.75931973,-73.9882577
MCDONALD'S,Manhattan,10028,40.77783574,-73.95468583
SUBWAY,Manhattan,10025,40.79299254,-73.97297503
KAZUZA,Manhattan,10009,40.72590442,-73.98364915
EZ PAELLA,Manhattan,10019,40.76361807,-73.98883453
GARDENIA DELI,Manhattan,10001,40.74980689,-73.99518176
THE GREAT CABIN,Manhattan,10009,40.72390079,-73.98397795
LENWICH,Manhattan,10023,40.77891023,-73.97770723
MAMAN,Manhattan,10028,40.77541282,-73.95647832
ARTISTIC PIZZA,Manhattan,10012,40.73064305,-74.00055204
OLLIES 42ND,Manhattan,10036,40.75867236,-73.99320303
THE CHICK INN HARLEM,Manhattan,10031,40.82541451,-73.95117371
CASA LIMONE,Manhattan,10017,40.75750917,-73.97673984
BLUE RIBBON FRIED CHICKEN,Manhattan,10003,40.72432424,-73.99093726
CALEXICO,Manhattan,10075,40.77243172,-73.95572209
CREATIVE EDGE CATERERS,Manhattan,10014,40.73184769,-74.00850089
THE EXPAT,Manhattan,10027,40.81514709,-73.95999993
SIX HAPPINESS TO GO,Manhattan,10016,40.74748745,-73.97392108
CITIZENS OF CHELSEA,Manhattan,10001,40.74780331,-74.00046918
ZARO'S BREAD BASKET,Manhattan,10017,40.75209393,-73.97760435
INDAY,Manhattan,10010,40.74351547,-73.98907248
POSH POP BAKESHOP,Manhattan,10012,40.72927889,-74.00145765
SHAKING CRAB,Manhattan,10019,40.76333813,-73.989062
PRINCE ST PIZZA,Manhattan,10012,40.72292739,-73.99463895
BAKERY ON 3RD CAFE,Manhattan,10029,40.790389,-73.9455188
TROCITOS DE MEXICO,Manhattan,10034,40.86487395,-73.91911548
RONG HANG RESTAURANT,Manhattan,10002,40.71571132,-73.99320382
NARI,Manhattan,10019,40.76165103,-73.97682141
DYCKMAN PALACE PIZZA,Manhattan,10040,40.86228154,-73.92517427
STARBUCKS,Manhattan,10001,40.74711976,-73.99499068
NOCHE MEXICANA II,Manhattan,10025,40.79738833,-73.96794567
HARRY'S & ULYSSES,Manhattan,10004,40.70463872,-74.00960828
CELLAR DOG,Manhattan,10014,40.7335552,-74.00327271
MADAM JI,Manhattan,10012,40.72835392,-73.99957065
A & C KITCHEN,Manhattan,10009,40.72498127,-73.97818354
BAGEL BELLY,Manhattan,10003,40.73291778,-73.98746134
BIAO SUGAR,Manhattan,10001,40.74828856,-73.98846537
SISTINA,Manhattan,10028,40.77779709,-73.96158227
IL FIORISTA,Manhattan,10010,40.74401232,-73.9895199
MONTEREY,Manhattan,10022,40.75770099,-73.97521291
CROSS CULTURE KITCHEN,Manhattan,10029,40.79971505,-73.94423976
EL PORTON BAR & RESTAURANT,Manhattan,10027,40.81431519,-73.95929957
GRAMERCY TAVERN,Manhattan,10003,40.73884388,-73.98902634
DAVEY'S ICE CREAM,Manhattan,10001,40.75117384,-73.99692493
TACO BELL,Manhattan,10065,40.76537023,-73.95775924
BLUE RIBBON,Manhattan,10012,40.72552402,-74.00313522
MARINARA PIZZA,Manhattan,10025,40.7954514,-73.97117903
FAIRFIELD INN,Manhattan,10018,40.75073911,-73.98411223
IPIZZA NY,Manhattan,10019,40.76247085,-73.98970108
ORA DI PASTA,Manhattan,10019,40.76414814,-73.97395063
TORAJI,Manhattan,10013,40.71593656,-73.9973414
BARKING DOG NYC,Manhattan,10019,40.76203146,-73.98743779
XI'AN FAMOUS FOODS,Manhattan,10011,40.74023324,-74.00215797
ROYAL NAPOLI PIZZA,Manhattan,10036,40.76311611,-73.99294267
ICCA,Manhattan,10007,40.71401774,-74.00764731
BAR PASQUALE,Manhattan,10012,40.72133002,-73.99708865
CHOP'T,Manhattan,10024,40.78146045,-73.9795371
CLUB A STEAKHOUSE,Manhattan,10022,40.76047633,-73.96601424
APPLE JACK DINER,Manhattan,10019,40.76456968,-73.98228588
DIG INN,Manhattan,10005,40.70588502,-74.0071811
APOLLO BAGELS,Manhattan,10003,40.72893206,-73.98485709
VERLAINE,Manhattan,10002,40.7199186,-73.98782455
JOLLIBEE,Manhattan,10036,40.75684919,-73.98597329
MET LIFE TEA BAR,Manhattan,10017,40.75415504,-73.97655693
SWEETS LABORATORY BY HANAMIZUKI,Manhattan,10001,40.74719914,-73.99134195
The Oma,Manhattan,10031,40.82486685,-73.94785715
ROMEO & JULIET COFFEE HOUSE,Manhattan,10036,40.76041271,-73.9973324
MEZZE BARISTA BAR @ PFIZER,Manhattan,10001,40.75548041,-74.00021296
EVERCORE #17984,Manhattan,10055,40.75882057,-73.97397799
STARBUCKS,Manhattan,10007,40.7140476,-74.01161165
LIFECAFE,Manhattan,10036,40.76095345,-73.99861746
SEAMORE'S,Manhattan,10021,40.77068238,-73.96069104
TIPSY NOMAD,Manhattan,10016,40.74382521,-73.98525428
Grace Deli & Cafe,Manhattan,10021,40.77091333,-73.96185703
KOON TASTE OF SIAM,Manhattan,10011,40.74436953,-73.99544921
I MILKY,Manhattan,10018,40.75145306,-73.98656274
THE FRANCIS KITE CLUB,Manhattan,10009,40.72186362,-73.98045377
TIR NA NOG,Manhattan,10001,40.74972721,-73.99353238
PIZZA TOWN,Manhattan,10018,40.75207058,-73.98611146
CHIPOTLE MEXICAN GRILL,Manhattan,10003,40.73407348,-73.98903074
MAMA TACO,Manhattan,10034,40.86938998,-73.91661515
BD STAR PIZZA,Manhattan,10009,40.72532534,-73.98407502
KAVASUTRA,Manhattan,10009,40.72840489,-73.98355833
STEAK FRITES BISTRO,Manhattan,10018,40.75569712,-73.99460743
REMI43 FLOWER & COFFEE,Manhattan,10017,40.75068728,-73.97155579
PATISSERIE CHANSON,Manhattan,10021,40.77123641,-73.9594993
MYKONIAN HOUSE,Manhattan,10028,40.77912801,-73.96075103
BROOKS ATKINSON THEATER,Manhattan,10036,40.75992885,-73.98638054
886,Manhattan,10003,40.7289215,-73.98847234
PINK TACO,Manhattan,10036,40.75590782,-73.98668095
LUISA CHIMICHURRY,Manhattan,10033,40.84706544,-73.93538785
HAVANA TACOS,Manhattan,10034,40.86225809,-73.92292196
HUB THAI,Manhattan,10009,40.72397229,-73.9850314
GREEK FROM GREECE,Manhattan,10018,40.75190354,-73.98994094
DORADO,Manhattan,10003,40.73409028,-73.99323442
MCCOY'S PUB,Manhattan,10019,40.76434264,-73.98830735
GRACIE-MEWS RESTAURANT,Manhattan,10028,40.77344024,-73.95186546
PAZZA NOTTE,Manhattan,10019,40.76346277,-73.97782794
NEW 94TH EAST BROADWAY,Manhattan,10002,40.71377079,-73.99364049
PICK A BAGEL,Manhattan,10075,40.7718253,-73.95616657
INDIA PALACE,Manhattan,10065,40.76140775,-73.96041136
SUMMER SALT,Manhattan,10010,40.7406992,-73.98761504
EL PAISA TEPEACA,Manhattan,10040,40.85332076,-73.93078733
TINY'S AND THE BAR UPSTAIRS,Manhattan,10013,40.71675149,-74.00823202
LOCAL,Manhattan,10012,40.72702269,-74.00191942
INSOMNIA COOKIES,Manhattan,10007,40.71395728,-74.00868618
DING-A-LING,Manhattan,10009,40.7244022,-73.97860944
MAMA'S TOO!,Manhattan,10025,40.80086592,-73.96791871
SACHI ASIAN BISTRO I,Manhattan,10016,40.74753684,-73.97388497
AMSTERDAM SUSHI,Manhattan,10031,40.81887973,-73.95225879
EMMETTS,Manhattan,10012,40.72735479,-74.00270235
KOUZAN,Manhattan,10025,40.79228956,-73.97163906
JUST SALAD,Manhattan,10018,40.75174161,-73.99005646
TINA'S CUBAN CUISINE RESTAURANT,Manhattan,10022,40.75988121,-73.96771833
SHUN LEE,Manhattan,10023,40.7722739,-73.9803631
TRE,Manhattan,10002,40.72177952,-73.98750313
SHAKE SHACK,Manhattan,10018,40.7508219,-73.98776113
DOMINO'S,Manhattan,10033,40.85067595,-73.93752783
CITY BEER,Manhattan,10016,40.74881356,-73.97571429
THE COSMOPOLITAN CLUB,Manhattan,10065,40.76678635,-73.96544422
LE JARDINIERE,Manhattan,10022,40.75817762,-73.97114469
FRESH & CO,Manhattan,10001,40.75505496,-73.99878722
ASSET,Manhattan,10023,40.77967041,-73.97712564
SEFTON,Manhattan,10021,40.76871792,-73.95533828
WOGIES BAR & GRILL,Manhattan,10006,40.7074792,-74.01316145
JOSIE WOOD'S PUB,Manhattan,10003,40.73003357,-73.99417293
THE RITZ BAR & LOUNGE,Manhattan,10036,40.76055501,-73.98972304
CHAMPIGNON CAFÉ,Manhattan,10029,40.78761497,-73.95386662
SHANGHAI TIME,Manhattan,10018,40.75430802,-73.99066967
5IVE SPICE,Manhattan,10012,40.72248828,-73.99606402
BAKER STREET IRREGULARS,Manhattan,10065,40.76224751,-73.96002099
HOU YI HOT POT,Manhattan,10002,40.71640296,-73.99262297
VIA QUADRONNO,Manhattan,10021,40.77268209,-73.96544837
PRICE WATERHOUSE CAFETERIA,Manhattan,10017,40.75222882,-73.97971214
GINO'S PIZZERIA RESTAURANT,Manhattan,10028,40.77546321,-73.95206257
BURGER KING,Manhattan,10029,40.798407,-73.94114554
SUBWAY,Manhattan,10003,40.7342135,-73.98936629
WESTVILLE WALL STREET,Manhattan,10005,40.70463069,-74.00669405
AD HOC COLLECTIVE,Manhattan,10014,40.73395598,-74.00048712
TRIBECA ROOFTOP (10 DESBROSSES STREET),Manhattan,10013,40.72388789,-74.00819682
WOLFNIGHTS,Manhattan,10019,40.76223281,-73.97629778
YUKI SUSHI,Manhattan,10002,40.71596102,-73.99203863
BAR CONTRA,Manhattan,10002,40.72001756,-73.9892459
HILTON GARDEN INN,Manhattan,10004,40.70273634,-74.01220115
COME PRIMA,Manhattan,10021,40.77221812,-73.96509841
NEW HUA XIA SEAFOOD RESTAURANT,Manhattan,10002,40.71407285,-73.99692665
REGENCY WHIST CLUB,Manhattan,10065,40.7688952,-73.96846126
456 NEW SHANGHAI RESTAURANT,Manhattan,10013,40.71616714,-73.99817108
CONMIGO,Manhattan,10029,40.78830645,-73.95337862
MADAM MIKETTE'S,Manhattan,10022,40.75632393,-73.96747461
GRAYSON HOTEL / HARTA / BAR CIMA,Manhattan,10018,40.75204552,-73.98341893
CHAMA MAMA,Manhattan,10024,40.78230847,-73.97892298
LA GOURMET,Manhattan,10022,40.76200616,-73.96958358
JOY LOVE CLUB,Manhattan,10011,40.74447666,-73.99906169
CAFE PARADISO,Manhattan,10023,40.77356717,-73.98351104
TOKYO LISTENING ROOM,Manhattan,10012,40.73052228,-74.00005412
COMPLETE CAFE,Manhattan,10011,40.73643987,-73.99464869
LUCHADORES,Manhattan,10038,40.70573696,-74.00396384
BIRD DOG,Manhattan,10014,40.73405188,-74.0062532
CHIPOTLE MEXICAN GRILL,Manhattan,10012,40.72598238,-73.99630915
ANDIAMO CAFE,Manhattan,10033,40.84633288,-73.93589459
BOHEMIAN SPIRIT RESTAURANT,Manhattan,10021,40.76919072,-73.95716834
LIL CHEF MAMA,Manhattan,10038,40.70827308,-74.0051146
NEW CHINA,Manhattan,10010,40.73831348,-73.98350536
DIG,Manhattan,10023,40.77427223,-73.98126513
BO'S BAGELS,Manhattan,10026,40.80385297,-73.95401787
QUALITY ITALIAN STEAKHOUSE,Manhattan,10019,40.76371212,-73.97574132
KORALI ESTIATORIO,Manhattan,10128,40.78335379,-73.95068108
IL GIGLIO,Manhattan,10013,40.71908712,-74.01034269
CONRAD NEW YORK MAIN KITCHEN,Manhattan,10282,40.71480461,-74.01615332
COLUMBUS CAFE,Manhattan,10024,40.78705809,-73.97176408
CHU ROS THAI,Manhattan,10029,40.78921024,-73.94872662
GUANTANAMERA,Manhattan,10019,40.76572816,-73.98360324
POPEYES LOUISIANA KITCHEN,Manhattan,10128,40.78032726,-73.95289316
FRIJOLITO'S RESTAURANT,Manhattan,10031,40.82351024,-73.95256257
TURKISH CUISINE,Manhattan,10036,40.76003914,-73.99146662
SALUGGI'S EAST,Manhattan,10002,40.7160786,-73.98719036
KIKOO SUSHI,Manhattan,10025,40.80132777,-73.96136998
TEN DEGREES,Manhattan,10009,40.72724947,-73.98447143
THE DEAN NYC,Manhattan,10018,40.75441492,-73.98904903
OSTERIA LAGUNA,Manhattan,10017,40.75056433,-73.97395957
POPEYES,Manhattan,10032,40.84357016,-73.93813449
WENDY'S,Manhattan,10012,40.72673717,-73.99564886
HOTEL RIU PLAZA NEW YORK TIMES SQUARE,Manhattan,10036,40.76000593,-73.98842724
DRIP SWEAT,Manhattan,10032,40.83980375,-73.93696705
TAP HAUS,Manhattan,10016,40.74742071,-73.98425017
FRUCES,Manhattan,10031,40.81809772,-73.95283019
PANERA BREAD #9202,Manhattan,10065,40.76414238,-73.95525111
NUEVO RINCON DEL SABOR RESTAURANT,Manhattan,10032,40.83640465,-73.94001679
ARAMARK@ACCENTURE #19261,Manhattan,10001,40.75227175,-73.99712339
BERIMBAU,Manhattan,10014,40.72998974,-74.00353953
PERLA NEGRA BAR,Manhattan,10031,40.82372975,-73.95240344
SHAH'S HALAL FOOD,Manhattan,10034,40.86750796,-73.92173718
JOSEPH LEONARD,Manhattan,10014,40.7336513,-74.00157682
PILA DE BOBA,Manhattan,10003,40.73189628,-73.98389664
MINT MASALA,Manhattan,10012,40.72939143,-74.00100665
ROUTE 66 CAFE,Manhattan,10019,40.76704875,-73.98632493
JERRELL'S BETR BRGR,Manhattan,10013,40.72380025,-74.00472976
VANGUARD WINE BAR,Manhattan,10019,40.76246204,-73.98461119
CLINTON HALL,Manhattan,10006,40.70807466,-74.01444562
KING GARDEN RESTAURANT,Manhattan,10037,40.81424208,-73.93715393
THE BEST OF NEW YORK FOOD,Manhattan,10005,40.70598938,-74.00624334
SUBWAY,Manhattan,10028,40.7763501,-73.9528671
"THE LAVAUX, SWISS WINE AND FONDUE BAR",Manhattan,10014,40.73844079,-74.0055319
TENG DRAGON,Manhattan,10031,40.8188276,-73.95229857
THE SMITH,Manhattan,10001,40.74422086,-73.98891718
UNIVERSITY CENTER CAFE,Manhattan,10003,40.73564934,-73.99385851
NEW MOON,Manhattan,10016,40.74243511,-73.97754626
INDIAN TANPURA,Manhattan,10024,40.78856009,-73.97438162
DO NOT FEED ALLIGATORS,Manhattan,10014,40.73365398,-74.00438768
LITTLE ITALY PIZZA,Manhattan,10036,40.75821525,-73.98035643
MAD DOG & BEANS MEXICAN CANTINA,Manhattan,10016,40.75073883,-73.98219934
Playwright Celtic Pub,Manhattan,10036,40.75939383,-73.98820354
JJ BROWN CUP,Manhattan,10128,40.77942054,-73.95062623
DUNKIN,Manhattan,10001,40.74701224,-73.98841867
GREGORYS COFFEE,Manhattan,10065,40.76560897,-73.95760747
RANO'S CHICKEN BURGERS,Manhattan,10029,40.78914584,-73.94042427
ST KILDA COFFEE,Manhattan,10036,40.76059345,-73.98985299
EL MANANTIAL BAKERY,Manhattan,10032,40.84298016,-73.93834467
B&H Dairy Lunch,Manhattan,10003,40.72835327,-73.98785187
CHIPOTLE MEXICAN GRILL #3544,Manhattan,10019,40.76958511,-73.98822339
NY 99 CENTS FRESH PIZZA,Manhattan,10014,40.73582516,-74.00125933
CAFFE ARONNE,Manhattan,10021,40.76984039,-73.96263746
PINNACLE BAGELS ON THE SQUARE,Manhattan,10014,40.73043992,-74.00212157
JUICE PRESS,Manhattan,10011,40.74362282,-74.00710939
THE BOIL,Manhattan,10003,40.73016258,-73.99443631
DOMINO'S,Manhattan,10031,40.8291544,-73.94844277
SARDI'S RESTAURANT,Manhattan,10036,40.75791432,-73.98742052
CAZUELA MEXICANA,Manhattan,10035,40.79844435,-73.93908316
WU LIANG YE,Manhattan,10036,40.75800382,-73.97985837
LAN LARB SOHO,Manhattan,10013,40.7199412,-73.99840186
EXCELLENT DUMPLING HOUSE,Manhattan,10011,40.74363389,-73.9945254
STUFFED ICE CREAM,Manhattan,10003,40.72788359,-73.98508464
KOSSARS & BEYOND,Manhattan,10002,40.71657832,-73.98881358
JACKSON HOLE,Manhattan,10065,40.76430997,-73.96345643
THINK COFFEE,Manhattan,10014,40.73944822,-74.00275697
LE PAIN QUOTIDIEN,Manhattan,10280,40.71140663,-74.01586032
CHAMOUN'S WAY,Manhattan,10065,40.76442355,-73.95847101
CAFFE DE LA VENEZIA,Manhattan,10013,40.71741327,-73.99840192
KOGANE RAMEN,Manhattan,10014,40.74048844,-74.00426543
CILANTRO EAST,Manhattan,10128,40.77964278,-73.95044192
IPIZZANY,Manhattan,10032,40.83477372,-73.94436566
PRET A MANGER,Manhattan,10036,40.75619528,-73.98138574
OLE & STEEN,Manhattan,10018,40.75332747,-73.98454112
Pizza Gaga,Manhattan,10011,40.7436833,-73.9946481
CAPITAL ONE NY SOHO,Manhattan,10012,40.72378387,-73.99817448
AVOCADO OH SMOOTHIE,Manhattan,10001,40.74747668,-74.00061715
GONG CHA & POKE+,Manhattan,10065,40.76799085,-73.96395982
ABITINO'S PIZZA,Manhattan,10019,40.75933726,-73.97714348
PHIL HUGHES TAVERN,Manhattan,10128,40.77791827,-73.94859814
SCHMACKARY'S,Manhattan,10036,40.75985513,-73.99008051
STARBUCKS,Manhattan,10013,40.71555196,-74.00919141
CORVO COFFEE,Manhattan,10018,40.75489535,-73.99018593
FABRIQUE,Manhattan,10014,40.74037043,-74.00402726
ARK BAGELS,Manhattan,10011,40.74072456,-74.00179712
BELLA BLU,Manhattan,10021,40.76928333,-73.96302046
SL GREEN REALTY CORP (28 Floor),Manhattan,10017,40.75287634,-73.97839453
ALACHI MASALA INDIAN RESTAURANT,Manhattan,10024,40.78604903,-73.97621705
BERIMBAU BRAZILIAN KITCHEN MIDTOWN,Manhattan,10018,40.74985527,-73.98392476
EL PLATO LOCO,Manhattan,10040,40.86217995,-73.925131
CAFE HONG KONG,Manhattan,10013,40.71523665,-73.9974244
VIN SUR VINGT,Manhattan,10069,40.77603817,-73.98968454
SUN HONG WONG SEAFOOD RESTAURANT,Manhattan,10013,40.71770961,-73.99520934
ONCE MORE THAI,Manhattan,10002,40.72110387,-73.98400388
TAZON,Manhattan,10018,40.7517471,-73.9900745
HER BOBA,Manhattan,10019,40.76414522,-73.99050223
LOTTE NEW YORK PALACE - 4th floor cold banquet kitchen,Manhattan,10022,40.75810725,-73.97539324
PATENT COFFEE,Manhattan,10001,40.74490439,-73.9897399
NOVITA,Manhattan,10010,40.73927177,-73.98629096
TACOMBI,Manhattan,10021,40.76831112,-73.96130617
DARYL ROTH THEATRE,Manhattan,10003,40.73522634,-73.98961871
STARBUCKS COFFEE COMPANY #29897,Manhattan,10158,40.74906882,-73.97568171
HAWA,Manhattan,10011,40.74493777,-73.99875493
BLUE SPOON,Manhattan,10038,40.70817686,-74.0077873
ROSCIOLI NYC,Manhattan,10012,40.72765398,-74.00247506
THE COPPER STILL,Manhattan,10011,40.74329635,-73.9962324
BLEECKER STREET BAR,Manhattan,10012,40.72669874,-73.99568133
GRACE STREET,Manhattan,10001,40.74745939,-73.98620987
INSOMNIA COOKIES,Manhattan,10014,40.73187815,-74.00336283
JENNIFER CAFE,Manhattan,10003,40.72532844,-73.98695046
AUGUST GATHERINGS,Manhattan,10013,40.71878566,-74.00105338
MOTTSU,Manhattan,10012,40.72415703,-73.99442599
SOUVLAKI GR MIDTOWN,Manhattan,10019,40.7645638,-73.97989248
DUNKIN,Manhattan,10024,40.7875145,-73.97512232
LE SOLEIL,Manhattan,10019,40.76868764,-73.98885172
THE SHAKESPEARE,Manhattan,10016,40.75062868,-73.98006272
HIGHBALL,Manhattan,10036,40.75904758,-73.98470944
POKE FRESH SUSHI,Manhattan,10028,40.77439658,-73.94822538
EMPIRE STEAK HOUSE,Manhattan,10022,40.75622349,-73.9717014
LENWICH,Manhattan,10075,40.77247398,-73.95862122
KELLARI TAVERNA,Manhattan,10036,40.75516041,-73.98083017
GRIND NYC COFFEE SHOP,Manhattan,10036,40.7591883,-73.99206232
SUBWAY,Manhattan,10019,40.76852846,-73.98896728
TRATTORIA ZERO OTTO NOVE II,Manhattan,10010,40.74060347,-73.99131394
"CRIF DOGS, PLEASE DON'T TELL",Manhattan,10009,40.72729615,-73.98457966
PORCHLIGHT,Manhattan,10001,40.75173645,-74.00494109
FAMOUS FAMIGLIA,Manhattan,10025,40.79388946,-73.97049351
METRO DINER,Manhattan,10025,40.79730651,-73.96985633
O'NIEALS,Manhattan,10013,40.7195432,-73.99794011
DAILY BAGEL,Manhattan,10065,40.76076024,-73.96114453
NOM NAM,Manhattan,10016,40.74552299,-73.97767875
LA PECORA BIANCA,Manhattan,10024,40.78053488,-73.97648984
THE EAGLE,Manhattan,10001,40.75153064,-74.00359121
RUMPUS ROOM,Manhattan,10002,40.72284744,-73.98957014
CHOCOLATE DIP,Manhattan,10002,40.72174942,-73.98837979
CHEFSCAPE,Manhattan,10005,40.70530051,-74.00487271
YUMMY CITY,Manhattan,10029,40.78807417,-73.9493053
LA ESQUINA DE NAGUA,Manhattan,10032,40.84203981,-73.93534215
WILLIAMSBURG PIZZA,Manhattan,10002,40.71844498,-73.99133849
DUNKIN,Manhattan,10029,40.78771924,-73.9537871
"TAP ROOM, GRAB & GO",Manhattan,10019,40.76671822,-73.97873659
LENWICH,Manhattan,10010,40.74187697,-73.99039355
CAFE GITANE,Manhattan,10012,40.72326226,-73.99479406
JUST SALAD,Manhattan,10019,40.76196831,-73.98728619
KUNG FU TEA & TKK FRIED CHICKEN,Manhattan,10010,40.73986455,-73.98558354
MANNA HOUSE,Manhattan,10013,40.71815158,-73.99693367
CHIPOTLE MEXICAN GRILL,Manhattan,10007,40.71521417,-74.0112403
BUS STOP DINER,Manhattan,10031,40.82019558,-73.95501095
AMAZE FUSION & LOUNGE,Manhattan,10017,40.75184881,-73.97366672
RESTUARANT NIPPON,Manhattan,10022,40.75751058,-73.97088148
CAPIZZI,Manhattan,10018,40.75731372,-73.99344862
PAISLEY RESTAURANT,Manhattan,10013,40.72221346,-74.0097407
JOE & THE JUICE,Manhattan,10021,40.77010656,-73.9624207
16TH FLOOR CAFE,Manhattan,10022,40.75744266,-73.97379805
Gnocchi on 9th GV LLC,Manhattan,10011,40.73567146,-74.00056291
SWEET MOMENT,Manhattan,10013,40.71747363,-73.99733773
HUDSON YARDS TAVERN,Manhattan,10001,40.75122601,-73.99786333
PABADE BAKERY & CAFE,Manhattan,10029,40.79496965,-73.94479994
GOOD SUGAR,Manhattan,10021,40.76790237,-73.96195263
SWEETS BAKERY,Manhattan,10013,40.71735838,-73.99957793
BITES OF XIAN,Manhattan,10019,40.7630535,-73.97631193
TACO RECIPES,Manhattan,10002,40.71536523,-73.9898599
OLD TBILISI,Manhattan,10012,40.72890287,-74.00068913
LE PAIN QUOTIDIEN,Manhattan,10004,40.70420761,-74.01155943
MOLE,Manhattan,10014,40.73814162,-74.00537671
LE BOTANISTE,Manhattan,10023,40.77408558,-73.98122547
ISLA,Manhattan,10018,40.75139505,-73.98375476
AGAVI ORGANIC JUICEBAR,Manhattan,10003,40.72738974,-73.98676605
BESTWAY kITCHEN,Manhattan,10028,40.77417433,-73.94838802
DOUBLE CHICKEN PLEASE,Manhattan,10002,40.71945771,-73.99024167
RYNN RESTAURANT AND BAR,Manhattan,10003,40.72657199,-73.98848718
YUNNAN RICE NOODLE HOUSE,Manhattan,10013,40.71526684,-73.99750736
251 GINZA SUSHI,Manhattan,10016,40.74578619,-73.97619899
DUNKIN,Manhattan,10036,40.75459235,-73.98142589
VIVA! CAFE,Manhattan,10009,40.72464195,-73.9845478
VEGAN GRILL,Manhattan,10128,40.78020802,-73.95002986
DUNKIN,Manhattan,10011,40.74309036,-73.99322628
DONBURIYA,Manhattan,10019,40.76501167,-73.98285975
NAYA EXPRESS I,Manhattan,10017,40.75173081,-73.97375699
SARAVANA BHAVAN,Manhattan,10016,40.74149738,-73.98328083
TARA KITCHEN,Manhattan,10013,40.71791269,-74.0055807
KENNEDY FRIED CHICKEN,Manhattan,10029,40.79501056,-73.94426539
FLAME ASIAN BISTRO,Manhattan,10024,40.78406695,-73.97449168
METROPOLITAN CLUB,Manhattan,10022,40.76479552,-73.97230783
HOKEY POKE-CHICK SHOP,Manhattan,10022,40.7554987,-73.97097982
OSCAR'S PLACE,Manhattan,10014,40.73182586,-74.00658855
"DUNKIN', 'BASKIN ROBBINS",Manhattan,10002,40.7126534,-73.98989278
123 MARKET PLACE,Manhattan,10038,40.70910465,-74.00689289
BAGEL TO SANDWICH,Manhattan,10018,40.75525757,-73.98913191
BROOME STREET BAR,Manhattan,10013,40.72311686,-74.00312428
HOMEWOOD SUITES BY HILTON NEW YORK MIDTOWN MANHATTAN TIMES SQUARE,Manhattan,10018,40.75436032,-73.9927523
SINIGUAL,Manhattan,10017,40.75019674,-73.97486923
PITA YEERO,Manhattan,10017,40.75165122,-73.97381477
DALLAS BBQ,Manhattan,10011,40.74538791,-73.99842651
LIDO,Manhattan,10026,40.80498417,-73.95493819
CHOP'T,Manhattan,10006,40.70942272,-74.01110226
CAFE BELLE,Manhattan,10012,40.7244041,-73.99516918
PLANTSHED,Manhattan,10024,40.78699223,-73.97178939
MENKOI SATO,Manhattan,10014,40.7316092,-74.0016345
DONUT PUB,Manhattan,10011,40.73874834,-74.00014434
CROWN ALLEY NYC,Manhattan,10011,40.74243456,-73.99930351
FOGO DE CHAO,Manhattan,10019,40.76130542,-73.97798749
RAKU,Manhattan,10003,40.72693693,-73.98747329
SUSHI 456,Manhattan,10014,40.73142512,-74.00664985
BAROLO EAST,Manhattan,10017,40.75494417,-73.97066243
JUICE GENERATION INC,Manhattan,10003,40.73001426,-73.99252404
JOEY ROSES,Manhattan,10002,40.71891636,-73.98452028
SOCIETE GENERALE CAFETERIA,Manhattan,10167,40.75481909,-73.97568321
BG EMPLOYEE CAFETERIA 4TH FL.,Manhattan,10019,40.76377756,-73.97378833
"MURALS ON 54, RANDOLPH'S",Manhattan,10019,40.76186522,-73.97733032
KENNEDY FRIED CHICKEN,Manhattan,10002,40.71261776,-73.99036171
LUPITA RESTAURANT,Manhattan,10029,40.79016809,-73.94277435
HARLEM HALAL FOOD COURT,Manhattan,10026,40.80166323,-73.94886508
CROMPTON ALE HOUSE,Manhattan,10001,40.74548652,-73.99303115
CHELSEA SQUARE RESTAURANT,Manhattan,10011,40.74604118,-74.00029954
PROOF COFFEE ROASTERS,Manhattan,10030,40.8148879,-73.94401385
NISH NUSH,Manhattan,10013,40.71555206,-74.00779899
Burger Man,Manhattan,10019,40.76036219,-73.98380671
PASCALOU,Manhattan,10128,40.78509053,-73.95572809
BURGEROLOGY,Manhattan,10018,40.75381689,-73.99336234
TATAKI SUSHI RESTAURANT,Manhattan,10013,40.72051201,-74.00494598
HARRY'S ITALIAN,Manhattan,10282,40.71512319,-74.01479706
ISLAND GRILL,Manhattan,10027,40.81527262,-73.95794782
ARAGVI,Manhattan,10017,40.75170586,-73.97269227
DUNKIN,Manhattan,10038,40.70887943,-74.00908588
